target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
hypertension_crisis,5872,0.23694617,0.9244795861869718,0.7481790243179599,0.7004132231404959,0.6927792915531336,0.6965753424657535,0.8569929787749173
afib_aflutter,1834,0.07400533,0.9474091203116466,0.6953945448868198,0.7897977132805629,0.48964013086150493,0.6045102659037361,0.9525865547574853
chronic_ischemic_disease,1980,0.079896696,0.9069603920088527,0.4444405629637007,0.5898617511520737,0.19393939393939394,0.2919042189281642,0.924824469372932
heart_failure_acute,993,0.040069405,0.9391573965761508,0.42769333430958384,0.6505576208178439,0.17623363544813697,0.277337559429477,0.9631990961181502
brady_heart_block_conduction,380,0.01533371,0.9180569754851846,0.23573551087249292,0.9333333333333333,0.03684210526315789,0.07088607594936709,0.9851908643370189
stroke_tia,359,0.01448632,0.8839897822238661,0.21346088468826266,0.6222222222222222,0.07799442896935933,0.13861386138613863,0.9859575498345573
cardiomyopathy_myocarditis,280,0.011298523,0.9250055389064449,0.2013264122207811,0.625,0.017857142857142856,0.034722222222222224,0.9887821806149625
valvular_endocardial_disease,622,0.025098862,0.9065958987244735,0.1990953502252865,0.0,0.0,0.0,0.9749011379226858
ami_stemi,55,0.0022193529,0.9412978819619333,0.1989689453892695,0.0,0.0,0.0,0.9977806472439674
heart_failure_chronic,700,0.028246308,0.9154537473157189,0.1989117044227953,0.0,0.0,0.0,0.9717536921959486
ventricular_arrhythmias_arrest,174,0.007021225,0.9389352635532039,0.18686581644145556,0.6666666666666666,0.022988505747126436,0.044444444444444446,0.9930594786538617
supraventricular_tachyarrhythmias,164,0.0066177063,0.8815406731937171,0.13955934196110248,0.6666666666666666,0.024390243902439025,0.047058823529411764,0.9934629973367767
ami_nstemi,304,0.012266968,0.9080226712708727,0.1357479245880989,0.0,0.0,0.0,0.9877330320393835
aortic_peripheral_vascular,408,0.016463563,0.8784898364860017,0.0830650801245969,0.0,0.0,0.0,0.9835364377370672
pe_dvt_venous_thromboembolism,327,0.013195061,0.8399341110208667,0.07423105658683048,0.0,0.0,0.0,0.9868049390686788
unstable_angina_ac_ischemia,106,0.004277298,0.9027085365965556,0.05317209966803278,0.0,0.0,0.0,0.9957227019611008
pericardial_disease_tamponade,108,0.004358002,0.8600479887360815,0.04021821222351467,0.0,0.0,0.0,0.9956419982245178
