target,n_test_pos,pos_rate,roc_auc,pr_auc
label_hypertension_crisis,5895,0.23177636234961077,0.9329323649736257,0.7775505352092814
label_afib_aflutter,1846,0.07258001100888574,0.9488228745688675,0.6823658667076777
label_chronic_ischemic_disease,1988,0.07816308877880003,0.9259294464217704,0.44918160518000977
label_heart_failure_acute,999,0.03927813163481953,0.9277749613743065,0.31046033974880294
label_valvular_endocardial_disease,625,0.02457340567743965,0.928217985408521,0.20127897199260422
label_heart_failure_chronic,702,0.027600849256900213,0.926791242000283,0.18988240367870213
label_cardiomyopathy_myocarditis,283,0.011126838090744672,0.9343255078548184,0.18609982142805817
label_brady_heart_block_conduction,382,0.015019265550051113,0.923137988167857,0.139409102220013
label_stroke_tia,368,0.014468821262876465,0.8995675330171824,0.12226854717678279
label_ventricular_arrhythmias_arrest,182,0.007155775733270426,0.9284772134249404,0.1192731358687013
label_supraventricular_tachyarrhythmias,164,0.006448061649760164,0.891756589805708,0.10835517803718799
label_ami_nstemi,306,0.012031139419674451,0.9119129663963643,0.0884430280181071
label_aortic_peripheral_vascular,411,0.016159471573484314,0.8973608999914726,0.08537230877054877
label_pe_dvt_venous_thromboembolism,332,0.013053393095855941,0.8627673189771274,0.06970938380580369
label_ami_stemi,57,0.0022410945977824957,0.9180678180062206,0.060306054260933696
label_unstable_angina_ac_ischemia,107,0.004206967051977668,0.9039339274070853,0.028186657423128925
label_pericardial_disease_tamponade,108,0.004246284501061571,0.852342490954984,0.020310591852547494
